Actual_Price,Predicted_Price,Error
1150.0,990.99756,-159.00244140625
588.0,473.32913,-114.67086791992188
3900.0,3811.9724,-88.027587890625
1200.0,1502.5929,302.5928955078125
330.0,297.06723,-32.932769775390625
750.0,735.0042,-14.99578857421875
1369.0,2129.7988,760.798828125
430.0,309.2221,-120.77789306640625
950.0,661.47296,-288.52703857421875
1200.0,1334.0638,134.0638427734375
700.0,1422.5712,722.5711669921875
450.0,600.479,150.47900390625
500.0,395.0076,-104.99240112304688
750.0,654.7698,-95.230224609375
1250.0,1204.3949,-45.6051025390625
500.0,804.72186,304.72186279296875
1950.0,1265.8848,-684.115234375
1200.0,1438.3363,238.3363037109375
600.0,482.0969,-117.90310668945312
688.0,816.54193,128.54193115234375
675.0,380.5038,-294.4961853027344
1780.0,1674.5302,-105.4698486328125
4999.0,4220.562,-778.43798828125
1800.0,1260.8397,-539.1602783203125
2100.0,2627.2537,527.253662109375
2000.0,1119.1436,-880.8564453125
1666.0,1449.3595,-216.6405029296875
700.0,839.2475,139.24749755859375
150.0,389.91183,239.91183471679688
1550.0,1302.1152,-247.884765625
1399.0,689.2248,-709.7752075195312
888.0,889.4849,1.48492431640625
850.0,883.0069,33.00689697265625
3100.0,4363.546,1263.5458984375
1400.0,1103.6836,-296.31640625
1699.0,1504.2435,-194.7564697265625
679.0,317.17465,-361.8253479003906
230.0,157.54237,-72.45762634277344
1200.0,1399.116,199.115966796875
230.0,182.58932,-47.410675048828125
750.0,665.09125,-84.90875244140625
820.0,934.0179,114.01788330078125
60.0,286.9731,226.97311401367188
600.0,466.15286,-133.84713745117188
888.0,563.4828,-324.5172119140625
3999.0,3706.74,-292.260009765625
1688.0,1793.1073,105.1072998046875
850.0,1001.98334,151.98333740234375
876.0,639.167,-236.8330078125
350.0,620.9205,270.92047119140625
1088.0,738.95917,-349.04083251953125
3300.0,2494.1343,-805.86572265625
1750.0,1054.5852,-695.414794921875
900.0,571.9069,-328.09307861328125
580.0,641.6177,61.61767578125
500.0,1388.3673,888.3673095703125
800.0,579.52484,-220.47515869140625
3500.0,3813.0889,313.0888671875
900.0,888.223,-11.7769775390625
1750.0,891.69824,-858.3017578125
140.0,220.82587,80.82586669921875
170.0,166.48822,-3.51177978515625
666.0,625.1808,-40.8192138671875
699.0,548.1345,-150.865478515625
730.0,1146.9357,416.9356689453125
400.0,817.96173,417.96173095703125
